ABR20103.1,B0EXJ8.1,100.000,355,0,0,1,355,1,355,0.0,736,100.00
ABR20103.1,KAI5660804.1,99.437,355,2,0,1,355,1,355,0.0,731,99.44
ABR20103.1,KAI5661763.1,84.314,357,50,3,1,355,1,353,0.0,615,90.76
ABR20103.1,QBY35563.1,70.278,360,100,6,1,355,1,358,2.39e-180,511,82.22
ABR20103.1,AAR02419.1,65.385,364,112,7,1,355,1,359,7.11e-166,474,78.30
ABR20103.1,KAI5661762.1,65.385,364,112,7,1,355,355,713,2.10e-160,473,78.30
ABR20103.1,KAI5661762.1,62.079,356,126,5,1,352,1,351,6.07e-149,444,76.12
ABR20103.1,XIT78073.1,64.365,362,117,6,1,355,3,359,4.66e-157,452,75.69
ABR20103.1,AAR02421.1,62.396,359,126,5,1,355,1,354,7.13e-157,451,76.32
ABR20103.1,XUJ55405.1,64.365,362,117,6,1,355,3,359,1.33e-156,451,75.41
ABR20103.1,XIT78072.1,63.812,362,119,6,1,355,3,359,9.23e-156,449,75.41
ABR20103.1,Q8GSN1.1,62.117,359,121,7,1,355,1,348,2.10e-153,442,77.99
ABR20103.1,AAR02417.1,65.546,357,112,5,1,355,1,348,4.43e-153,442,78.15
ABR20103.1,XIT78074.1,63.812,362,119,6,1,355,3,359,8.14e-152,439,74.31
ABR20103.1,KAI5661758.1,59.497,358,134,6,1,355,1,350,1.87e-146,425,74.30
ABR20103.1,KAI7980043.1,59.331,359,137,5,1,355,5,358,1.74e-145,423,73.26
ABR20103.1,KAL7215887.1,58.774,359,139,5,1,355,5,358,2.86e-144,420,72.98
ABR20103.1,AXK92565.1,58.989,356,137,5,4,355,6,356,4.81e-144,419,74.16
ABR20103.1,KAI8008204.1,58.774,359,139,5,1,355,5,358,1.72e-143,418,73.26
ABR20103.1,GMP67410.1,58.774,359,139,5,1,355,5,358,2.07e-143,417,72.42
ABR20103.1,KAI7980042.1,58.939,358,139,5,1,355,5,357,3.68e-143,417,73.18
ABR20103.1,AXF35975.1,62.674,359,123,7,3,355,3,356,4.23e-143,417,76.60
ABR20103.1,A0A2Z5P0W7.2,62.674,359,123,7,3,355,1,354,5.48e-143,416,76.60
ABR20103.1,KAI8008205.1,58.939,358,139,5,1,355,5,357,9.73e-143,416,72.91
ABR20103.1,XP_028119738.2,58.496,359,140,5,1,355,5,358,1.38e-142,416,72.42
ABR20103.1,XP_027061110.1,57.835,351,135,5,7,355,45,384,8.58e-142,414,74.36
